episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode
The Well,30,Movies,The Well,,The Well,"Best friends raised on an isolated farm are looking to the future and European dream. When an accident creates guilt, fear and suspicion changes their plans. (1997)","Best friends raised on an isolated farm are looking to the future and European dream. When an accident creates guilt, fear and suspicion changes their plans.","['ABC TV', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zy/ZY9461A001S00_60c2c74fefe19_1920.jpg,"[""['Director Samantha Lang']""]","['abc1', 'drama', 'film', '1990s', 'countryside', 'a:established-parents', 'a:older-sink-dink', 'a:working-parents', 'a:retirees', 'ns:be-entertained', 'australia', 'farm', 'aussie', 'detective', 'family-dysfunction', 'dark', 'gritty', 'suspense', 'relationships', 'death', 'feature-length']",2021-06-25 07:00:00,M,5870.0,,
The Wild One,37,Movies,The Wild One,,The Wild One,"Johnny, a brooding biker, and his motorcycle gang roll into Carbonville for a biker competition, raising hell and terrorising the small town until they get driven out. (1953)","Johnny, a brooding biker, and his motorcycle gang roll into Carbonville for a biker competition, raising hell and terrorising the small town until they get driven out.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zy/ZY9362A001S00_60bf0ddbb7a69.jpg,"[""['Director Lazslo Benedek']""]","['abc1', 'abc2', 'drama', 'crime-drama', 'noir', 'classic', 'film', 'feature-length', 'americana', 'outlaw', 'gang', 'organised-crime', 'emotional', 'hard-hitting', 'nostalgia', 'all-star-cast', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-entertained', 'usa']",2021-06-25 07:00:00,PG,4547.0,,
Infamous,54,Movies,Infamous,,Infamous,"Intrigued by a murder in Kansas, writer Truman Capote begins researching for his new novel and develops an intense relationship with the convicted killer that could pose devastating emotional consequences. (2006)","Intrigued by a murder in Kansas, writer Truman Capote begins researching for his new novel and develops an intense relationship with the convicted killer that could pose devastating emotional consequences.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2897A001S00_60a1c5ced1c83_1920.jpg,"[""['Director Douglas McGrath']""]","['abc1', 'abc2', 'drama', 'period-drama', '1950s', 'compelling', 'psychological', 'lgbtqi', 'somber', 'betrayal', 'crime', 'murder', 'critically-acclaimed', 'feature-length', 'film', 'all-star-cast', 'ns:be-entertained', 'movies', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'usa']",2021-06-01 07:00:00,M,6784.0,,
Murray Whelan: The Brush Off,65,Movies,Murray Whelan: The Brush Off,,Murray Whelan: The Brush Off,"Political adviser to Australia's Minister of the Arts, Murray Whelan is dragged into a sordid underworld of corrupt politicians, self-made millionaires and art frauders as he investigates the suspicious death of an artist. (2004)","Political adviser to Australia's Minister of the Arts, Murray Whelan is dragged into a sordid underworld of corrupt politicians, self-made millionaires and art frauders as he investigates the suspicious death of an artist.","['ABC TV', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2817A001S00_60c185596f82a_1920.jpg,"[""['Director Sam Neill']""]","['abc1', 'australia', 'drama', 'crime', 'crime-drama', '2000s', 'canberra', 'action', 'aussie', 'corruption', 'detective', 'murder', 'mystery', 'compelling', 'fast-paced', 'funny', 'quirky', 'suspense', 'betrayal', 'hijinks', 'organised-crime', 'politics', 'a:established-parents', 'a:older-sink-dink', 'a:retirees', 'a:working-parents', 'ns:be-entertained', 'ns:relieve-boredom', 'feature-length', 'film', 'murray-whelan']",2021-06-25 07:00:00,M,5436.0,,
The End Of The Affair,83,Movies,The End Of The Affair,,The End Of The Affair,"The year is 1939, and while England is at war, a tumultuous love affair is about to begin that will carry a tragic price tag. (1999)","The year is 1939, and while England is at war, a tumultuous love affair is about to begin that will carry a tragic price tag.","['ABC TV', 'ABC TV Plus', 'MOVIES', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3027A001S00_60c170e1bcf22_1280.jpg,"[""['Director Neil Jordan']""]","['abc1', 'abc2', 'film', 'movies', 'romance', 'love', 'drama', 'adaptation', 'a:established-parents', 'a:home-duties', 'ns:be-entertained', 'a:older-sink-dink', 'a:retirees', 'a:working-parents', 'ns:be-uplifted', 'war', 'world-war-2', '1940s', 'emotional', 'heartfelt', 'intense', 'relationships', 'all-star-cast']",2021-06-25 07:00:00,MA,5840.0,,
Goldstone,106,Movies,Goldstone,,Goldstone,"Indigenous detective Jay Swan arrives in the town of Goldstone to search for a missing person, and his simple duty becomes complicated when he uncovers a web of crime and corruption. (2016)","Indigenous detective Jay Swan arrives in the town of Goldstone to search for a missing person, and his simple duty becomes complicated when he uncovers a web of crime and corruption.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES', 'INDIGENOUS']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1094A001S00_607670770e1be_1280.jpg,"[""['Director Ivan Sen']""]","['abc1', 'abc2', 'drama', 'film', 'detective', 'mystery', 'crime', 'crime-drama', 'suspense', 'thriller', 'indigenous', 'cald', 'diversity', 'outback', 'compelling', 'slow-burn', 'critically-acclaimed', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-entertained', 'movie', 'australia']",2021-08-11 07:00:00,M,6560.0,,
The Road,129,Movies,The Road,,The Road,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea. Based on the 2007 Pulitzer Prize winner novel by Cormac McCarthy. (2009)","In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea. Based on the 2007 Pulitzer Prize winner novel by Cormac McCarthy.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2877A001S00_60a218a22eaca_1280.jpg,"[""['Director John Hillcoat']""]","['abc1', 'abc2', 'drama', 'sci-fi', 'adaptation', 'film', 'thriller', 'dark', 'apocalyptic', 'intense', 'compelling', 'violent', 'cerebral', 'disturbing', 'gritty', 'hard-hitting', 'suspense', 'critically-acclaimed', 'award-winning', 'movie', 'a:established-parents', 'a:older-sink-dink', 'usa']",2021-06-01 07:00:00,MA,6380.0,,
Tjitji Lullaby,197,Kids,Tjitji Lullaby,,Tjitji Lullaby,Tjitji Lullaby (meaning child in the Anangu Pitjantjatjara Yankunytjatjara languages) sings baby animals to sleep as the sun sets and the moon rises.,Tjitji Lullaby (meaning child in the Anangu Pitjantjatjara Yankunytjatjara languages) sings baby animals to sleep as the sun sets and the moon rises.,['ABC Kids'],https://cdn.iview.abc.net.au/thumbs/i/ck/CK2050H001S00_60dabe77682cb_1920.jpg,['[]'],['abc4kids'],2021-07-05 19:27:55,G,102.0,,
The Art of Remembrance,271,Documentary,The Art of Remembrance,,The Art of Remembrance,Nate Byrne explores the role of paintings and sketches that represent the experiences of our service personnel and how visual art can help us to learn more about Australia's military history.,Nate Byrne explores the role of paintings and sketches that represent the experiences of our service personnel and how visual art can help us to learn more about Australia's military history.,"['ABC TV', 'DOCUMENTARY', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2009H001S00_6082437f5c064_1280.jpg,"[""['Host Nate Byrne']""]","['abc1', 'docs', 'factual', 'australia', 'history', 'historical-events', 'anzac-day', 'arts', 'culture', 'revealing', 'informative', 'ns:understand', 'a:retirees', 'a:older-sink-dink']",2021-04-25 18:28:14,PG,1594.0,,
Oils On The Water,329,Comedy,Oils On The Water,,Oils On The Water,"In 1985, Midnight Oil celebrated in concert on Goat Island, on Sydney Harbour in an event that will be remembered as one of the triumphs of their careers.","In 1985, Midnight Oil celebrated in concert on Goat Island, on Sydney Harbour in an event that will be remembered as one of the triumphs of their careers.","['ABC TV Plus', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2970A001S00_60beb09c351aa_1280.jpg,"[""['Cast Peter Garrett'"", ""'Rob Hirst'"", ""'Jim Moginie'"", ""'Martin Rotsey'"", ""'Peter Gifford']""]","['abc2', 'arts', 'australia', 'music', 'performance', 'pop-culture', 'rock-music', 'live-music', 'concert', 'entertainment', 'cult-favourite', 'nostalgia', 'feel-good', 'inspirational']",2021-06-18 07:00:00,M,4807.0,,
